id,name,name_2,type,sex,age,education,media,level
AA,"American Academy, Berlin",AA,2,99,99,99,2,1
AH,AccorHotels,AH,2,99,99,99,2,1
AHP,American Hospital of Paris,AHP,2,99,99,99,2,1
AI,General Council of Aspen Institut Italia,AI,2,99,99,99,2,1
AJC,American Jewish Committee,AJC,2,99,99,99,2,1
AL,Allianz Lebensversicherung AG,AL,2,99,99,99,2,1
AP,Deutsche Gesellschaft für Auswärtige Politik,AP,2,99,99,99,2,1
AS,Allianz SpA,AS,2,99,99,99,2,1
ASDCF,"Axel Springer Digital Classifieds France SAS, Frankreich",ASDCF,2,99,99,99,2,1
ASG,Axel Springer Gesellschaft für Publizistik GmbH & Co,ASG,2,99,99,99,2,1
ASS,Axel Springer Stiftung,ASS,2,99,99,99,2,1
AUG,Augusta,AUG,2,99,99,99,2,1
AW,Akademie Wort,AW,2,99,99,99,2,1
AWI,AWIN AG,AWI,2,99,99,99,2,1
AxSp,Axel Springer,AxSp,1,1,99,5,2,1
BA,Barilla SpA,BA,2,99,99,99,2,1
Bayer,Jan Bayer,Bayer,1,1,3,1,99,2
BBA,Förderverein der Berlin-Brandenburgischen Akademie der Wissenschaften,BBA,2,99,99,99,2,1
BDZ,Bundesverband Deutscher Zeitungsverleger,BDZ,2,99,99,99,2,1
BHF,BHF Kleinwort Benson Group SA,BHF,2,99,99,99,2,1
BHW,Bayrische Hypotheken und Wechselbank AG,BHW,2,99,99,99,2,1
BI,"Business Insider  Inc., USA",BI,2,99,99,99,3,2
BILD,BILD Gruppe,BILD,2,99,99,99,3,1
BK,Bilderberg-Konferenz,BK,2,99,99,99,2,1
BL,Gruppa Banco Leonardo,BL,2,99,99,99,2,1
BLS,Berthold Leibinger-Stiftung,BLS,2,99,99,99,2,1
BMP,Berliner Morgenpost,BMP,2,99,99,99,1,1
BMW,BMW,BMW,2,99,99,99,2,1
BS,Bayrische Staatsregierung,BS,2,99,99,99,2,1
BSS,Banco Leonardo S.A. Stiftung,BSS,2,99,99,99,2,1
BW,Bauwert AG,BW,2,99,99,99,2,1
BZ,Braunschweiger Zeitung,BZ,2,99,99,99,1,1
CaM,Capital Magazin,CaM,2,99,99,99,1,1
Caspar,Stephanie Caspar,Caspar,1,2,3,3,99,2
CBMF,"Car & Boat Media SAS, Frankreich",CBMF,2,99,99,99,3,1
CDU,CDU,CDU,2,99,99,99,2,1
CFR,Council on Foreign Relations,CFR,2,99,99,99,2,1
ClM,Classifieds Media,ClM,2,99,99,99,3,1
CO,Continental AG,CO,2,99,99,99,2,1
COMT,"CompuTel Telefonservice AG, Schweiz",COMT,2,99,99,99,2,1
CTI,"Coral-Tell Ltd., Israel",CTI,2,99,99,99,2,1
DB,Deutsche Bank Italia,DB,2,99,99,99,2,1
DCG,Dahler & Company Group,DCG,2,99,99,99,2,1
DE,Deutz AG,DE,2,99,99,99,2,1
Deutz,Dr. Julian Deutz,Deutz,1,1,4,3,99,2
DG,Deutsche Gesellschaft,DG,2,99,99,99,2,1
DH,Dermapharm Holding SE,DH,2,99,99,99,2,1
DHB,Deutsches Herzzentrum Berlin,DHB,2,99,99,99,2,1
DM,Deutsches Museum,DM,2,99,99,99,2,1
DN,Deutsche Nationalstiftung,DN,2,99,99,99,2,1
Doepfner,Dr. Mathias Döpfner,Doepfner,1,1,4,3,99,2
DS,Dussman Stiftung,DS,2,99,99,99,2,1
DTV,"Dogan TV Holding A.S., Türkei",DTV,2,99,99,99,1,1
DUS,Dussman AG&Co KGaA,DUS,2,99,99,99,2,1
DW,DIE WELT,DW,2,99,99,99,3,1
EBAY,EBAY,EBAY,2,99,99,99,2,1
EC,Economist,EC,2,99,99,99,1,1
ECM,Elvaston Capital Management GmbH,ECM,2,99,99,99,2,1
ED,Evonik Degussa,ED,2,99,99,99,2,1
eM,EMarketer,eM,2,99,99,99,3,2
EPC,European Publishers Council,EPC,2,99,99,99,2,1
FCM,Family Circle Magazin,FCM,2,99,99,99,2,1
FFDSO,Freunde und Förderer der Deutschen Staatsoper,FFDSO,2,99,99,99,2,1
FL,Freundeskreis Luther,FL,2,99,99,99,2,1
FO,Ford,FO,2,99,99,99,2,1
FON,FON,FON,2,99,99,99,2,1
FPSG,Freunde der Preußischen Schlösser und Gärten,FPSG,2,99,99,99,2,1
FriedeSpringer,Friede Springer,FriedeSpringer,1,2,5,5,99,1
FSHS,Friede Springer Herz Stiftung,FSHS,2,99,99,99,2,1
FSS,Friede Springer Stiftung,FSS,2,99,99,99,2,1
FW,Fon Wireless,FW,2,99,99,99,2,1
GE,Gerling Versicherung,GE,2,99,99,99,2,1
GEO,Geo Magazin,GEO,2,99,99,99,1,1
GJ,Gruner + Jahr,GJ,2,99,99,99,1,1
HOME,Home24,HOME,2,99,99,99,2,1
HAB,Hamburger Abendbaltt,HAB,2,99,99,99,1,1
HAW,Hawesko,HAW,2,99,99,99,2,1
HB,Hugo Boss AG,HB,2,99,99,99,2,1
HE,Herlitz AG,HE,2,99,99,99,2,1
Heine,Oliver Heine,Heine,1,1,4,2,99,1
HMP,Hamburger Morgenpost,HMP,2,99,99,99,1,1
HP,Heine & Partner,HP,2,99,99,99,2,1
HSB,HSB Hypo Service Bank AG,HSB,2,99,99,99,2,1
HU,Humanitas SpA,HU,2,99,99,99,2,1
HVA,HVA Grundbesitz KG,HVA,2,99,99,99,2,1
IMMO,"Immoweb SA, Belgien",IMMO,2,99,99,99,2,1
IMMOD,Immowelt AG,IMMOD,2,99,99,99,2,1
IMS,Immobilienscout24,IMS,2,99,99,99,2,1
ISIP,Istituto per gli Studi di Politica Internazionale,ISIP,2,99,99,99,2,1
IV,Ivoclar Vivadent AG,IV,2,99,99,99,2,1
JF,"Jean Frey AG, Schweiz",JF,2,99,99,99,2,1
