from,to,relation,time,topicality,location
GV,HB,1,2000-2008,2,1
GV,DE,1,2006-2009,2,1
GV,AL,1,1998-2006,2,1
GV,CO,1,1991-2002,2,1
GV,HE,1,NA,2,1
GV,GE,1,NA,2,1
GV,ED,1,NA,2,1
GV,VA,1,1990-2008,2,1
GV,DB,7,1998-2002,2,2
GV,Springer,7,NA,2,2
GV,BL,7,2007-2012,2,2
GV,BA,7,NA,2,2
GV,HU,7,NA,2,2
GV,PI,7,NA,2,2
GV,BSS,7,NA,2,2
GV,MP,1,NA,2,1
GV,RK,1,NA,2,1
GV,DS,1,2006-2012,2,1
GV,DUS,1,2009-heute,1,1
GV,AP,6,-2012,2,1
GV,UC,7,2012-2018,2,2
GV,DN,8,NA,1,1
GV,AI,8,2012-heute,1,2
GV,TK,8,2012-heute,1,2
GV,ISIP,7,2012-heute,1,2
GV,SC,1,2001-2006,2,1
GV,Springer,1,2001-heute,1,1
MD,GJ,8,1992-1998,2,1
MD,WP,10,1994-1996,2,1
MD,HP,10,1996-1998,2,1
MD,DW,10,1998-2000,2,1
MD,Springer,9,2000-heute,1,1
MD,BDZ,9,2016-heute,1,1
MD,BI,9,2015-heute,1,2
MD,eM,9,NA,1,2
MD,Netflix,9,NA,1,2
MD,RAS,7,NA,1,2
MD,WMG,9,2014-heute,1,2
MD,Friede Springer,11,NA,1,1
MD,Sch,1,2001-2006,2,1
MD,WM,1,2006-heute,1,2
MD,VG,1,2015,2,2
MD,BHF,1,NA,2,2
MD,RCS,3,2013,2,2
MD,EPC,1,NA,1,2
MD,AA,1,NA,1,1
MD,CFR,1,NA,1,2
MD,AJC,12,NA,1,2
NLK,Springer,1,2010-heute,1,1
NLK,Siemens,1,NA,1,1
NLK,Vo,1,NA,NA,1
NLK,LBBW,3,NA,NA,1
NLK,BWBank,3,NA,NA,1
NLK,SV,4,NA,1,1
NLK,LA,4,2016-heute,1,1
NLK,DM,4,NA,NA,1
NLK,CDU,5,NA,NA,1
NLK,AW,4,NA,NA,1
NLK,TR,2,2003-heute,1,1
NLK,BLS,2,1992-2010,2,1
WR,Springer,1,2014-heute,1,1
WR,CO,1,2009-heute,1,1
WR,MP,1,2014-heute,1,1
WR,B,1,2018-heute,1,1
WR,DM,4,1986-heute,1,1
WR,H,1,2014-2017,2,1
WR,A,7,NA,NA,1
WR,L,9,2002-2014,2,1
WR,L,1,2016-heute,1,1
WR,IV,2,2003-heute,1,1
WR,IV,7,1980-2003,2,1
WR,BMW,9,1987-1999,2,1
WR,BS,3,NA,NA,1
WR,Fo,9,1999-2002,2,1
WR,LaHo,7,2014-2016,2,1
