id,name,type,sex,age,education
GV,Dr. Guiseppe Vita,1,1,83,3
HB,Hugo Boss AG,2,na,na,na
DE,Deutz AG,2,na,na,na
AL,Allianz Lebensversicherung AG,2,na,na,na
CO,Continental AG,2,na,na,na
HE,Herlitz AG,2,na,na,na
GE,Gerling Versicherung,2,na,na,na
ED,Evonik Degussa,2,na,na,na
VA,Vattenfall Europe AG,2,na,na,na
DB,Deutsche Bank Italia,2,na,na,na
AS,Allianz SpA,2,na,na,na
BL,Gruppa Banco Leonardo,2,na,na,na
BA,Barilla SpA,2,na,na,na
HU,Humanitas SpA,2,na,na,na
PI,Pirelli SpA,2,na,na,na
BSS,Banco Leonardo S.A. Stiftung,2,na,na,na
MP,Medical Park AG,2,na,na,na
RK,Robert-Koch-Stiftung,2,na,na,na
DS,Dussman Stiftung,2,na,na,na
DUS,Dussman AG&Co KGaA,2,na,na,na
AP,Deutsche Gesellschaft für Auswärtige Politik,2,na,na,na
UC,UniCredit SpA,2,na,na,na
DN,Deutsche Nationalstiftung,2,na,na,na
AI,General Council of Aspen Institut Italia,2,na,na,na
TK,Trilaterale Kommision,2,na,na,na
ISIP,Istituto per gli Studi di Politica Internazionale,2,na,na,na
SC,Schering AG,2,na,na,na
NLK,Dr. Nicola Leibinger-Kammüller,1,2,59,3
Springer,Axel Springer SE,2,na,na,na
TR,Trumpf GmbH + Co. KG,2,na,na,na
Siemens,Siemens AG,2,na,na,na
Vo,Voith GmbH,2,na,na,na
LBBW,Landesbank Baden-Württemberg,2,na,na,na
BWBank,BW Bank,2,na,na,na
SV,Stifterverband,2,na,na,na
LA,Deutsches Literaturarchiv,2,na,na,na
BLS,Berthold Leibinger-Stiftung,na,na,na,na
DM,Deutsches Museum,2,na,na,na
AW,Akademie Wort,2,na,na,na
CDU,CDU,2,na,na,na
WR,Prof. Dr.-Ing. Wolfgang Reitzle,1,1,69,4
BS,Bayrische Staatsregierung,,,,
B,Willy Bogner GmbH & Co. KGaA,2,na,na,na
H,Hawesko,2,na,na,na
A,Augusta,2,na,na,na
L,Linde AG,2,na,na,na
IV,Ivoclar Vivadent AG,2,na,na,na
BMW,BMW,2,na,na,na
Fo,Ford,2,na,na,na
LaHo,LafargeHolcim,2,na,na,na
MD,Dr. Mathias Döpfner,1,1,56,3
GJ,Guner + Jahr,2,NA,NA,NA
WP,Berliner Wochenpost,2,NA,NA,NA
HP,Hamburger Morgenpost,2,NA,NA,NA
DW,DIE WELT,2,NA,NA,NA
BDZ,Bundesverband Deutscher Zeitungsverleger,2,NA,NA,NA
BI,"Business Insider  Inc., USA",2,NA,NA,NA
eM,"eMarketer Inc., USA",2,NA,NA,NA
Netflix,Netflix  Inc.,2,NA,NA,NA
RAS,"Ringier Axel Springer AG, Schweiz",2,NA,NA,NA
WMG,"Warner Music Group, USA",2,NA,NA,NA
Friede Springer,Friede Springer,1,2,76,5
Sch,Schering AG,2,NA,NA,NA
WM,WarnerMedia,2,NA,NA,NA
VG,Vodafone Group Public Limited Company,2,NA,NA,NA
BHF,BHF Kleinwort Benson Group SA,2,NA,NA,NA
RCS,RCS MediaGroup,2,NA,NA,NA
EPC,European Publishers Council,2,NA,NA,NA
AA,"American Academy, Berlin",2,NA,NA,NA
CFR,Council on Foreign Relations,2,NA,NA,NA
AJC,American Jewish Committee,2,NA,NA,NA
