id,name,type,sex,age,education,media
AA,"American Academy, Berlin",2,99,99,99,2
AH,AccorHotels,2,99,99,99,2
AHP,American Hospital of Paris,2,99,99,99,2
AI,General Council of Aspen Institut Italia,2,99,99,99,2
AJC,American Jewish Committee,2,99,99,99,2
AL,Allianz Lebensversicherung AG,2,99,99,99,2
AP,Deutsche Gesellschaft für Auswärtige Politik,2,99,99,99,2
AS,Allianz SpA,2,99,99,99,2
ASDCF,"Axel Springer Digital Classifieds France SAS, Frankreich",2,99,99,99,2
ASG,Axel Springer Gesellschaft für Publizistik GmbH & Co,2,99,99,99,2
ASS,Axel Springer Stiftung,2,99,99,99,2
AUG,Augusta,2,99,99,99,2
AW,Akademie Wort,2,99,99,99,2
AWI,AWIN AG,2,99,99,99,2
AxSp,Axel Springer,1,1,99,5,2
BA,Barilla SpA,2,99,99,99,2
Bayer,Jan Bayer,1,1,49,1,99
BBA,Förderverein der Berlin-Brandenburgischen Akademie der Wissenschaften,2,99,99,99,2
BDZ,Bundesverband Deutscher Zeitungsverleger,2,99,99,99,2
BHF,BHF Kleinwort Benson Group SA,2,99,99,99,2
BHW,Bayrische Hypotheken und Wechselbank AG,2,99,99,99,2
BI,"Business Insider  Inc., USA",2,99,99,99,1
BILD,BILD Gruppe,2,99,99,99,1
BK,Bilderberg-Konferenz,2,99,99,99,2
BL,Gruppa Banco Leonardo,2,99,99,99,2
BLS,Berthold Leibinger-Stiftung,2,99,99,99,2
BMP,Berliner Morgenpost,2,99,99,99,1
BMW,BMW,2,99,99,99,2
BS,Bayrische Staatsregierung,2,99,99,99,2
BSS,Banco Leonardo S.A. Stiftung,2,99,99,99,2
BW,Bauwert AG,2,99,99,99,2
BZ,Braunschweiger Zeitung,2,99,99,99,1
CaM,Capital Magazin,2,99,99,99,1
Caspar,Stephanie Caspar,1,2,46,3,99
CBMF,"Car & Boat Media SAS, Frankreich",2,99,99,99,1
CDU,CDU,2,99,99,99,2
CFR,Council on Foreign Relations,2,99,99,99,2
ClM,Classifieds Media,2,99,99,99,1
CO,Continental AG,2,99,99,99,2
COMT,"CompuTel Telefonservice AG, Schweiz",2,99,99,99,2
CTI,"Coral-Tell Ltd., Israel",2,99,99,99,2
DB,Deutsche Bank Italia,2,99,99,99,2
DC,Dahler & Company Group,2,99,99,99,2
DE,Deutz AG,2,99,99,99,2
Deutz,Dr. Julian Deutz,1,1,51,3,99
DG,Deutsche Gesellschaft,2,99,99,99,2
DH,Dermapharm Holding SE,2,99,99,99,2
DHB,Deutsches Herzzentrum Berlin,2,99,99,99,2
DM,Deutsches Museum,2,99,99,99,2
