id,name,name_2,type,sex,age,education,media
AA,"American Academy, Berlin",AA,2,99,99,99,2
AH,AccorHotels,AH,2,99,99,99,2
AHP,American Hospital of Paris,AHP,2,99,99,99,2
AI,General Council of Aspen Institut Italia,AI,2,99,99,99,2
AJC,American Jewish Committee,AJC,2,99,99,99,2
AL,Allianz Lebensversicherung AG,AL,2,99,99,99,2
AP,Deutsche Gesellschaft für Auswärtige Politik,AP,2,99,99,99,2
AS,Allianz SpA,AS,2,99,99,99,2
ASDCF,"Axel Springer Digital Classifieds France SAS, Frankreich",ASDCF,2,99,99,99,2
ASG,Axel Springer Gesellschaft für Publizistik GmbH & Co,ASG,2,99,99,99,2
ASS,Axel Springer Stiftung,ASS,2,99,99,99,2
AUG,Augusta,AUG,2,99,99,99,2
AW,Akademie Wort,AW,2,99,99,99,2
AWI,AWIN AG,AWI,2,99,99,99,2
AxSp,Axel Springer,AxSp,1,1,99,5,2
BA,Barilla SpA,BA,2,99,99,99,2
Bayer,Jan Bayer,Bayer,1,1,49,1,99
BBA,Förderverein der Berlin-Brandenburgischen Akademie der Wissenschaften,BBA,2,99,99,99,2
BDZ,Bundesverband Deutscher Zeitungsverleger,BDZ,2,99,99,99,2
BHF,BHF Kleinwort Benson Group SA,BHF,2,99,99,99,2
BHW,Bayrische Hypotheken und Wechselbank AG,BHW,2,99,99,99,2
BI,"Business Insider  Inc., USA",BI,2,99,99,99,3
BILD,BILD Gruppe,BILD,2,99,99,99,3
BK,Bilderberg-Konferenz,BK,2,99,99,99,2
BL,Gruppa Banco Leonardo,BL,2,99,99,99,2
BLS,Berthold Leibinger-Stiftung,BLS,2,99,99,99,2
BMP,Berliner Morgenpost,BMP,2,99,99,99,1
BMW,BMW,BMW,2,99,99,99,2
BS,Bayrische Staatsregierung,BS,2,99,99,99,2
BSS,Banco Leonardo S.A. Stiftung,BSS,2,99,99,99,2
BW,Bauwert AG,BW,2,99,99,99,2
BZ,Braunschweiger Zeitung,BZ,2,99,99,99,1
CaM,Capital Magazin,CaM,2,99,99,99,1
Caspar,Stephanie Caspar,Caspar,1,2,46,3,99
CBMF,"Car & Boat Media SAS, Frankreich",CBMF,2,99,99,99,3
CDU,CDU,CDU,2,99,99,99,2
CFR,Council on Foreign Relations,CFR,2,99,99,99,2
ClM,Classifieds Media,ClM,2,99,99,99,3
CO,Continental AG,CO,2,99,99,99,2
COMT,"CompuTel Telefonservice AG, Schweiz",COMT,2,99,99,99,2
CTI,"Coral-Tell Ltd., Israel",CTI,2,99,99,99,2
DB,Deutsche Bank Italia,DB,2,99,99,99,2
DC,Dahler & Company Group,DC,2,99,99,99,2
DE,Deutz AG,DE,2,99,99,99,2
Deutz,Dr. Julian Deutz,Deutz,1,1,51,3,99
DG,Deutsche Gesellschaft,DG,2,99,99,99,2
DH,Dermapharm Holding SE,DH,2,99,99,99,2
DHB,Deutsches Herzzentrum Berlin,DHB,2,99,99,99,2
DM,Deutsches Museum,DM,2,99,99,99,2
DN,Deutsche Nationalstiftung,DN,2,99,99,99,2
Doepfner,Dr. Mathias Döpfner,Doepfner,1,1,56,3,99
DS,Dussman Stiftung,DS,2,99,99,99,2
DTV,"Dogan TV Holding A.S., Türkei",DTV,2,99,99,99,1
