id,name,type,sex,age,education
AA,"American Academy, Berlin",2,99,99,99
AH,AccorHotels,2,99,99,99
AHP,American Hospital of Paris,2,99,99,99
AI,General Council of Aspen Institut Italia,2,99,99,99
AJC,American Jewish Committee,2,99,99,99
AL,Allianz Lebensversicherung AG,2,99,99,99
AP,Deutsche Gesellschaft für Auswärtige Politik,2,99,99,99
AS,Allianz SpA,2,99,99,99
ASDCF,"Axel Springer Digital Classifieds France SAS, Frankreich",2,99,99,99
ASG,Axel Springer Gesellschaft für Publizistik GmbH & Co,2,99,99,99
ASS,Axel Springer Stiftung,2,99,99,99
AUG,Augusta,2,99,99,99
AW,Akademie Wort,2,99,99,99
AWI,AWIN AG,2,99,99,99
AxSp,Axel Springer,1,1,99,5
BA,Barilla SpA,2,99,99,99
Bayer,Jan Bayer,1,1,49,1
BBA,Förderverein der Berlin-Brandenburgischen Akademie der Wissenschaften,2,99,99,99
BDZ,Bundesverband Deutscher Zeitungsverleger,2,99,99,99
BHF,BHF Kleinwort Benson Group SA,2,99,99,99
BHW,Bayrische Hypotheken und Wechselbank AG,2,99,99,99
BI,"Business Insider  Inc., USA",2,99,99,99
BILD,BILD Gruppe,2,99,99,99
BK,Bilderberg-Konferenz,2,99,99,99
BL,Gruppa Banco Leonardo,2,99,99,99
BLS,Berthold Leibinger-Stiftung,2,99,99,99
BMP,Berliner Morgenpost,2,99,99,99
BMW,BMW,2,99,99,99
BS,Bayrische Staatsregierung,2,99,99,99
BSS,Banco Leonardo S.A. Stiftung,2,99,99,99
BW,Bauwert AG,2,99,99,99
BZ,Braunschweiger Zeitung,2,99,99,99
CaM,Capital Magazin,2,99,99,99
Caspar,Stephanie Caspar,1,2,46,3
CBMF,"Car & Boat Media SAS, Frankreich",2,99,99,99
CDU,CDU,2,99,99,99
CFR,Council on Foreign Relations,2,99,99,99
ClM,Classifieds Media,2,99,99,99
CO,Continental AG,2,99,99,99
COMT,"CompuTel Telefonservice AG, Schweiz",2,99,99,99
CTI,"Coral-Tell Ltd., Israel",2,99,99,99
DB,Deutsche Bank Italia,2,99,99,99
DC,Dahler & Company Group,2,99,99,99
DE,Deutz AG,2,99,99,99
Deutz,Dr. Julian Deutz,1,1,51,3
DG,Deutsche Gesellschaft,2,99,99,99
DH,Dermapharm Holding SE,2,99,99,99
DHB,Deutsches Herzzentrum Berlin,2,99,99,99
DM,Deutsches Museum,2,99,99,99
DN,Deutsche Nationalstiftung,2,99,99,99
Doepfner,Dr. Mathias Döpfner,1,1,56,3
DS,Dussman Stiftung,2,99,99,99
